geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
cmr,Cameroon,-4.70121,-8.40538,0.09045,8.25603,8.44534,11.18613,11.92655,16.51206,12.18948,20.4371,19.8881,18.15275,20.60117,18.51665,15.03544,17.23986,41.64195,48.63171,62.20315,64.57794,56.18308,57.8995,71.93791,86.46011,93.07545,103.95238,107.14541,121.13544,115.33834,118.34837,115.21003,127.72975,126.2384
cod,"Congo, Dem. Rep.",-43.77003,-51.67696,-53.40734,-26.30892,-31.28636,-24.03241,-23.82168,-24.1541,-29.91511,-44.31022,-45.86252,-43.20313,-31.19435,-34.2841,-26.32969,-24.28766,-16.35997,-14.18141,-16.61819,-12.60833,-0.04155,-10.50695,24.46872,59.85991,3.61213,-20.16206,-7.12335,-7.90989,-0.43631,2.64158,4.18794,15.51704,12.77158
cog,"Congo, Rep.",2.02978,-0.49486,-1.79073,-10.09017,14.48941,37.81506,41.92074,68.85301,74.82491,89.20109,84.46215,19.90354,49.55337,51.78863,81.59782,102.02139,78.83414,85.85448,106.15643,121.88719,103.4221,87.82135,128.06458,121.27071,141.13651,134.42231,131.9438,167.83393,202.03397,209.02076,194.35102,223.74083,204.08052
col,Colombia,3.35361,7.22276,13.33922,12.43734,17.66673,15.88753,25.74299,27.82132,11.51539,17.35222,16.65513,12.0812,11.13712,11.18456,14.49579,9.08542,13.19106,13.08154,19.57852,23.35278,32.76771,33.28607,51.77442,54.10443,56.63923,61.0095,46.61611,53.78579,55.10852,51.65477,64.93791,72.08847,89.15882
com,Comoros,20.61069,2.54453,0.25445,,2.54453,6.36132,6.61578,34.6056,38.67684,131.29771,145.29262,153.94402,229.26209,256.48855,245.54707,315.52163,172.01018,172.51908,238.42239,298.47328,261.57761,275.06361,349.87277,294.40204,332.06107,404.83461,549.36387,609.16031,710.43257,750.89059,765.90331,707.12468,708.39695
cpv,Cape Verde,25.32588,24.58101,21.41527,42.27188,42.27188,70.20484,70.39106,73.5568,78.77095,426.25698,501.11732,568.9013,570.7635,624.95345,1032.21601,1142.4581,1291.99255,1256.98324,1222.34637,1303.16574,1538.54749,1312.66294,1280.44693,1345.62384,1360.14898,1431.47114,1519.18063,1529.60894,1628.3054,1717.13222,1748.60335,1831.28492,1773.92924
cri,Costa Rica,8.14807,45.52285,46.27076,71.63442,70.3719,62.69041,60.43296,77.40154,77.07561,75.64498,89.39207,93.29628,107.77755,111.5857,117.94977,136.79155,164.15878,161.93907,151.35858,148.5728,164.37148,162.27528,172.58131,176.3826,166.57061,182.81529,187.86881,190.02676,181.55277,146.33937,175.09606,177.54906,194.12996
cub,Cuba,-22.08436,-38.1473,-43.43152,-41.80479,-38.07591,-32.93034,-26.59517,-27.94074,-25.92368,-25.00905,-28.04135,-31.2943,-33.27927,-34.5237,-32.12357,-30.65436,-28.3683,-30.81551,-30.26068,-27.03904,-28.17767,-25.15882,-24.74496,-30.35664,-23.77058,-29.20068,-31.472,-30.55426,-36.42539,-44.12965,-45.29726,-46.07505,-42.92092
cyp,Cyprus,11.25364,18.32058,23.85254,29.11286,26.30807,34.12741,36.06985,42.61507,48.2462,53.75876,50.85696,54.67931,69.08915,67.90557,70.42578,72.69807,79.11609,83.11092,78.64827,70.60257,65.04689,53.51514,38.82721,46.94621,47.78484,55.66886,58.71295,55.49639,55.55675,46.6293,48.84553,54.90568,54.86256
cze,Czech Republic,-9.26939,-12.76092,-15.49737,-18.8113,-19.27719,-16.97732,-19.02334,-22.67681,-27.66249,-20.04858,-20.10369,-23.01888,-21.04615,-20.52383,-22.02517,-20.97201,-20.03861,-23.79402,-27.66575,-26.89127,-28.62924,-31.10048,-33.81801,-35.20364,-34.56802,-33.64743,-33.30493,-33.93101,-37.57813,-42.96304,-40.08889,-39.91704,-45.30684
